,Acanthodesmia_micropora,Actinomma_leptoderma_boreale,Antarctissa_denticulata-cyrindrica,Antarctissa_juvenile,Antarctissa_longa-strelkovi,Botryocampe_antarctica,Botryocampe_inflatum-conithorax,Ceratocyrtis_historicosus,Cycladophora_bicornis,Cycladophora_cornutoides,Cycladophora_davisiana,Diatoms,Druppatractus_irregularis-bensoni,Eucyrtidium_spp,Fragments,Larcoids_inner,Lithocampe_furcaspiculata,Lithocampe_platycephala,Lithomelissa_setosa-borealis,Lophophana_spp,Other_Nassellaria,Other_Spumellaria,Phormospyris_stabilis_antarctica,Phortycium_clevei-pylonium,Plectacantha_oikiskos,Pseudodictyophimus_gracilipes,Sethoconus_tablatus,Siphocampe_arachnea_group,Spongodiscus,Spongurus_pylomaticus,Sylodictya_spp,Zygocircus
Druppatractus_irregularis-bensoni,0,2,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Eucyrtidium_spp,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Fragments,6,1,1,2,1,3,2,2,4,2,3,118,4,3,3921,22,1,1,8,20,86,4,2,14,11,5,2,1,18,8,4,6
Larcoids_inner,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Lithocampe_furcaspiculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lithocampe_platycephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithomelissa_setosa-borealis,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,3,1,0,0,0,0,1,0,0,0,0,0,0
Lophophana_spp,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,2,0,0,0,0,0,0,0,0,0,0,0
Other_Nassellaria,0,0,0,0,1,1,1,0,1,3,0,0,0,0,4,0,0,0,0,2,15,0,0,0,1,3,0,0,0,0,0,0
Other_Spumellaria,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,0,2,0,0,0
Phormospyris_stabilis_antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
Phortycium_clevei-pylonium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
Plectacantha_oikiskos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Pseudodictyophimus_gracilipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0
Sethoconus_tablatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
Siphocampe_arachnea_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Spongodiscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,183,0,1,0
Spongurus_pylomaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Sylodictya_spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
Zygocircus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
